change_id	current_order	rule_name	display_name	card_file	has_chronology_card	has_foma_implementation_found	foma_file	foma_rule_name_or_definition	implementation_notes	has_literature_notes_found	literature_note_files	literature_status	has_direct_quotations	quotation_source_files	chronology_evidence_status	safe_computational_window	earlier_boundary_summary	later_boundary_summary	core_graph_edges	contextual_graph_edges	excluded_relation_types	expanded_pwgmc_supplementary_note	book_section_readiness	recommended_book_treatment	missing_material	drafting_priority	notes
SC064	64	NWGmcInStemNLoss	NWGmc In Stem N Loss	Germanic/docs/sound_changes/order_tests/chronology_cards/SC064-nwgmc-in-stem-n-loss.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcInStemNLoss [{*n} -> 0 || {*ī} _ .#.];	Direct define found at line 2087 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/064-065-post-apocope-tail.dossier.md	substantial	no	none	strong_local_or_reciprocal	42-71	SC041 PWGmc Final Bare A Loss | historical_sound_change | order 41 | failures 1 | fright	SC072 OE Unstressed Long Vowel Shortening | historical_sound_change | order 72 | failures 1 | fright	SC041<SC064; SC064<SC072 [reciprocal]	none	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Later boundary is reciprocal with SC072 earlier and strengthens the fright-based weak-tail chronology relation.
SC065	65	OEMedialSyncope	OE Medial Syncope	Germanic/docs/sound_changes/order_tests/chronology_cards/SC065-oe-medial-syncope.md	yes	yes	Germanic/fsts/germanic.txt	define OEMedialSyncope [	Direct define found at line 2952 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/064-065-post-apocope-tail.dossier.md	substantial	no	none	negative_boundary_only	13-86 (earlier side blocked; later side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	none	runner_limited; no_break_runner_boundary	no	defer	boundary/underdetermination note	direct quotations; representative examples	defer	Both sides are negative computational results: earlier search is blocked by bundled PWGmcChanges and later search reaches SC087 with no real break.
SC066	66	OELAdjacentSyncope	OE L Adjacent Syncope	Germanic/docs/sound_changes/order_tests/chronology_cards/SC066-oe-l-adjacent-syncope.md	yes	yes	Germanic/fsts/germanic.txt	define OELAdjacentSyncope [	Direct define found at line 2971 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/066-068-syncope-and-degemination-corridor.dossier.md	substantial	no	none	strong_local_or_reciprocal	56-67	SC055 OE I Umlaut | historical_sound_change | order 55 | failures 2 | nettle; spindle	SC068 OE Preconsonantal Degemination | historical_sound_change | order 68 | failures 1 | spindle	SC055<SC066; SC066<SC068 [reciprocal]	none	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Earlier boundary crosses SC055, while the later boundary reciprocates SC068 earlier around spindle.
SC067	67	OEDentalAssimilation	OE Dental Assimilation	Germanic/docs/sound_changes/order_tests/chronology_cards/SC067-oe-dental-assimilation.md	yes	yes	Germanic/fsts/germanic.txt	define OEDentalAssimilation [	Direct define found at line 2992 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/066-068-syncope-and-degemination-corridor.dossier.md	substantial	no	none	negative_boundary_only	13-86 (earlier side blocked; later side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	none	runner_limited; no_break_runner_boundary	no	defer	boundary/underdetermination note	direct quotations; representative examples	defer	Both sides are negative computational results: earlier search is blocked by bundled PWGmcChanges and later search reaches SC087 with no real break.
SC068	68	OEPreconsonantalDegemination	OE Preconsonantal Degemination	Germanic/docs/sound_changes/order_tests/chronology_cards/SC068-oe-preconsonantal-degemination.md	yes	yes	Germanic/fsts/germanic.txt	define OEPreconsonantalDegemination OEPreconsonantalDegemTT .o. OEPreconsonantalDegemNN;	Direct define found at line 3013 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/066-068-syncope-and-degemination-corridor.dossier.md	substantial	no	none	strong_local_or_reciprocal	67-86 (later side runner-bounded)	SC066 OE L Adjacent Syncope | historical_sound_change | order 66 | failures 1 | spindle	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	SC066<SC068 [reciprocal]	none	no_break_runner_boundary	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Earlier boundary reciprocates SC066 later; later search reaches SC087 with no real break.
SC069	69	OEEarlyOShortening	OE Early O Shortening	Germanic/docs/sound_changes/order_tests/chronology_cards/SC069-oe-early-o-shortening.md	yes	yes	Germanic/fsts/germanic.txt	define OEEarlyOShortening [	Direct define found at line 2194 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md	substantial	no	none	broad_far_constraint	24-86 (later side runner-bounded)	SC023 NWGmc N Stem N Loss | historical_sound_change | order 23 | failures 17 | adder; earth; flask; heart; line	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	SC023<SC069 [broad_far]	no_break_runner_boundary	no	group_with_related_change	grouped cluster discussion	direct quotations; human chronology framing	medium	Earlier boundary is broad and far away across SC023 rather than a tight local adjacency claim.
SC070	70	OEUnstressedFrontingEarly	OE Unstressed Fronting Early	Germanic/docs/sound_changes/order_tests/chronology_cards/SC070-oe-unstressed-fronting-early.md	yes	yes	Germanic/fsts/germanic.txt	define OEUnstressedFrontingEarly OEUnstressedAFronting;	Direct define found at line 2450 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md	partial	no	none	mixed	53-70	SC052 OE Velar Palatalization | historical_sound_change | order 52 | failures 1 | lung	SC071 OE Late O Shortening | historical_sound_change | order 71 | failures 6 | bore (3sg); learn (3sg); lick (3sg); make (3sg); month	SC052<SC070; SC070<SC071 [reciprocal]	SC070<SC078 [broad_far]	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations; human chronology framing	medium	Later boundary reciprocates SC071 earlier in the six-row unstressed-fronting set.
SC071	71	OELateOShortening	OE Late O Shortening	Germanic/docs/sound_changes/order_tests/chronology_cards/SC071-oe-late-o-shortening.md	yes	yes	Germanic/fsts/germanic.txt	define OELateOShortening [	Direct define found at line 2200 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md	partial	no	none	strong_local_or_reciprocal	71-86 (later side runner-bounded)	SC070 OE Unstressed Fronting Early | historical_sound_change | order 70 | failures 6 | bore (3sg); learn (3sg); lick (3sg); make (3sg); month	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	SC070<SC071 [reciprocal]	none	no_break_runner_boundary	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Earlier boundary reciprocates SC070 later; later search reaches SC087 with no real break.
SC072	72	OEUnstressedLongVowelShortening	OE Unstressed Long Vowel Shortening	Germanic/docs/sound_changes/order_tests/chronology_cards/SC072-oe-unstressed-long-vowel-shortening.md	yes	yes	Germanic/fsts/germanic.txt	define OEUnstressedLongVowelShortening OEUnstressedLongVowelShortening1	Direct define found at line 2225 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md	partial	no	none	mixed	65-72	SC064 NWGmc In Stem N Loss | historical_sound_change | order 64 | failures 1 | fright	SC073 OE Unstressed AE Merger | historical_sound_change | order 73 | failures 24 | adder; earth; father; find; flask	SC063<SC072; SC064<SC072 [reciprocal]; SC072<SC074	SC040<SC072 [broad_far]; SC072<SC073 [reciprocal|broad_far]	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations; human chronology framing	medium	Now reciprocal on both sides: SC072 earlier crosses SC064 and SC072 later crosses SC073.
SC073	73	OEUnstressedAEMerger	OE Unstressed AE Merger	Germanic/docs/sound_changes/order_tests/chronology_cards/SC073-oe-unstressed-ae-merger.md	yes	yes	Germanic/fsts/germanic.txt	define OEUnstressedAEMerger OEWeakTailReduction3;	Direct define found at line 2454 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md	partial	no	none	mixed	73-83	SC072 OE Unstressed Long Vowel Shortening | historical_sound_change | order 72 | failures 24 | adder; earth; father; find; flask	SC085 OE H Loss | historical_sound_change | order 84 | failures 1 | toe	SC073<SC085 [reciprocal]	SC072<SC073 [reciprocal|broad_far]	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations; human chronology framing	medium	Earlier boundary is reciprocal with SC072 later and broad; later boundary is one-sided across SC085 and should trust crossed_change_id/display_name from the TSV.
SC074	74	OEMedUnstressedILowering1	OE Med Unstressed I Lowering1	Germanic/docs/sound_changes/order_tests/chronology_cards/SC074-oe-med-unstressed-i-lowering1.md	yes	yes	Germanic/fsts/germanic.txt	define OEMedUnstressedILowering1 [	Direct define found at line 2320 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md	partial	no	none	strong_local_or_reciprocal	73-74	SC072 OE Unstressed Long Vowel Shortening | historical_sound_change | order 72 | failures 1 | fright	SC075 OE Med Unstressed I Lowering | historical_sound_change | order 75 | failures 1 | shilling	SC072<SC074; SC074<SC075 [reciprocal]	none	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Later boundary reciprocates SC075 earlier around shilling.
SC075	75	OEMedUnstressedILowering	OE Med Unstressed I Lowering	Germanic/docs/sound_changes/order_tests/chronology_cards/SC075-oe-med-unstressed-i-lowering.md	yes	yes	Germanic/fsts/germanic.txt	define OEMedUnstressedILowering [	Direct define found at line 2334 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md	partial	no	none	strong_local_or_reciprocal	75-86 (later side runner-bounded)	SC074 OE Med Unstressed I Lowering1 | historical_sound_change | order 74 | failures 1 | shilling	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	SC074<SC075 [reciprocal]	none	no_break_runner_boundary	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Earlier boundary reciprocates SC074 later; later search reaches SC087 with no real break.
SC076	76	OEPrefixIReduction	OE Prefix I Reduction	Germanic/docs/sound_changes/order_tests/chronology_cards/SC076-oe-prefix-i-reduction.md	yes	yes	Germanic/fsts/germanic.txt	define OEPrefixIReduction [	Direct define found at line 2345 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md	partial	no	none	negative_boundary_only	13-86 (earlier side blocked; later side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	none	runner_limited; no_break_runner_boundary	no	defer	boundary/underdetermination note	direct quotations; representative examples	defer	Both sides are negative computational results: earlier search is blocked by bundled PWGmcChanges and later search reaches SC087 with no real break.
SC078	77	OEWeakTailReduction	OE Weak Tail Reduction	Germanic/docs/sound_changes/order_tests/chronology_cards/SC078-oe-weak-tail-reduction.md	yes	yes	Germanic/fsts/germanic.txt	define OEWeakTailReduction OEWeakTailReduction1;	Direct define found at line 2458 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md	partial	no	none	mixed	71-84	SC070 OE Unstressed Fronting Early | historical_sound_change | order 70 | failures 87 | bake; begin; believe; bind; bore	SC086 OE Contraction | historical_sound_change | order 85 | failures 2 | flee; slay	SC059<SC078; SC078<SC086	SC070<SC078 [broad_far]	none	no	group_with_related_change	grouped cluster discussion	direct quotations; human chronology framing	medium	Earlier boundary carries an 87-row broad -en failure set and is not a narrow local adjacency claim.
SC079	78	OEJLossAfterHeavy	OE J Loss After Heavy	Germanic/docs/sound_changes/order_tests/chronology_cards/SC079-oe-j-loss-after-heavy.md	yes	yes	Germanic/fsts/germanic.txt	define OEJLossAfterHeavy [	Direct define found at line 2580 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/079-087-final-j-contraction-and-metathesis-cluster.dossier.md	partial	no	none	mixed	56-78	SC055 OE I Umlaut | historical_sound_change | order 55 | failures 26 | believe; bow; fast; follow; heal	SC080 OE Final Geminate Simplification | historical_sound_change | order 79 | failures 1 | lung	SC079<SC080 [reciprocal]	SC055<SC079 [broad_far]	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations; human chronology framing	medium	Earlier boundary is broad across SC055, while the later boundary reciprocates SC080 earlier around lung.
SC080	79	OEFinalGeminateSimplification	OE Final Geminate Simplification	Germanic/docs/sound_changes/order_tests/chronology_cards/SC080-oe-final-geminate-simplification.md	yes	yes	Germanic/fsts/germanic.txt	define OEFinalGeminateSimplification [	Direct define found at line 2589 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/079-087-final-j-contraction-and-metathesis-cluster.dossier.md	partial	no	none	strong_local_or_reciprocal	79-86 (later side runner-bounded)	SC079 OE J Loss After Heavy | historical_sound_change | order 78 | failures 1 | lung	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	SC079<SC080 [reciprocal]	none	no_break_runner_boundary	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Earlier boundary reciprocates SC079 later; later search reaches SC087 with no real break.
SC081	80	OEJStrengtheningAfterFrontDiphthong	OE J Strengthening After Front Diphthong	Germanic/docs/sound_changes/order_tests/chronology_cards/SC081-oe-j-strengthening-after-front-diphthong.md	yes	yes	Germanic/fsts/germanic.txt	define OEJStrengtheningAfterFrontDiphthong [	Direct define found at line 2618 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/079-087-final-j-contraction-and-metathesis-cluster.dossier.md	partial	no	none	mixed	56-80	SC055 OE I Umlaut | historical_sound_change | order 55 | failures 1 | strew	SC082 OE Intervocalic J Vocalization | historical_sound_change | order 81 | failures 1 | strew	SC081<SC082 [reciprocal]	SC055<SC081 [broad_far]	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations; human chronology framing	medium	Earlier boundary is broad and far across SC055; later boundary reciprocates SC082 earlier around strew.
SC082	81	OEIntervocalicJVocalization	OE Intervocalic J Vocalization	Germanic/docs/sound_changes/order_tests/chronology_cards/SC082-oe-intervocalic-j-vocalization.md	yes	yes	Germanic/fsts/germanic.txt	define OEIntervocalicJVocalization [	Direct define found at line 2624 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/079-087-final-j-contraction-and-metathesis-cluster.dossier.md	partial	no	none	strong_local_or_reciprocal	81-81	SC081 OE J Strengthening After Front Diphthong | historical_sound_change | order 80 | failures 1 | strew	SC083 OE Unstressed EI Contraction | historical_sound_change | order 82 | failures 8 | bore; handle; learn; lick; make	SC081<SC082 [reciprocal]; SC082<SC083 [reciprocal]	none	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Earlier boundary reciprocates SC081 later, and later boundary reciprocates SC083 earlier.
SC083	82	OEUnstressedEIContraction	OE Unstressed EI Contraction	Germanic/docs/sound_changes/order_tests/chronology_cards/SC083-oe-unstressed-ei-contraction.md	yes	yes	Germanic/fsts/germanic.txt	define OEUnstressedEIContraction [	Direct define found at line 2632 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/079-087-final-j-contraction-and-metathesis-cluster.dossier.md	partial	no	none	strong_local_or_reciprocal	82-86 (later side runner-bounded)	SC082 OE Intervocalic J Vocalization | historical_sound_change | order 81 | failures 8 | bore; handle; learn; lick; make	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	SC082<SC083 [reciprocal]	none	no_break_runner_boundary	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Earlier boundary reciprocates SC082 later; later search reaches SC087 with no real break.
SC085	84	OEHLoss	OE H Loss	Germanic/docs/sound_changes/order_tests/chronology_cards/SC085-oe-h-loss.md	yes	yes	Germanic/fsts/germanic.txt	define OEHLoss [	Direct define found at line 3024 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/079-087-final-j-contraction-and-metathesis-cluster.dossier.md	partial	no	none	strong_local_or_reciprocal	74-84	SC073 OE Unstressed AE Merger | historical_sound_change | order 73 | failures 1 | toe	SC086 OE Contraction | historical_sound_change | order 85 | failures 4 | flee; slay; ten; toe	SC073<SC085 [reciprocal]; SC085<SC086 [reciprocal]	none	none	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Earlier boundary links back to the existing SC073 later toe relation, and the later boundary reciprocates SC086 earlier.
SC086	85	OEContraction	OE Contraction	Germanic/docs/sound_changes/order_tests/chronology_cards/SC086-oe-contraction.md	yes	yes	Germanic/fsts/germanic.txt	define OEContraction [	Direct define found at line 3028 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/079-087-final-j-contraction-and-metathesis-cluster.dossier.md	partial	no	none	strong_local_or_reciprocal	85-86 (later side runner-bounded)	SC085 OE H Loss | historical_sound_change | order 84 | failures 4 | flee; slay; ten; toe	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	SC078<SC086; SC085<SC086 [reciprocal]	none	no_break_runner_boundary	no	group_with_related_change	paired with reciprocal neighbour	direct quotations	high	Earlier boundary reciprocates SC085 later; later search reaches SC087 with no real break.
SC087	86	OERMetathesis	OE R Metathesis	Germanic/docs/sound_changes/order_tests/chronology_cards/SC087-oe-r-metathesis.md	yes	yes	Germanic/fsts/germanic.txt	define OERMetathesis [	Direct define found at line 3079 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/079-087-final-j-contraction-and-metathesis-cluster.dossier.md	partial	no	none	broad_far_constraint	45-86 (later side runner-bounded)	SC044 OE Breaking | historical_sound_change | order 44 | failures 1 | burst	none beyond current order | blocked_by_runner_limitation | order 86 | failures 0 | none	none	SC044<SC087 [broad_far]	runner_limited	no	group_with_related_change	grouped cluster discussion	direct quotations; human chronology framing	medium	Earlier boundary is far away across SC044 rather than a tight local adjacency claim; later search reaches the current runner limit with no real break.
